Idzawodnika;Nazwisko;Imie;Miasto
PL-0200000;Rutkowski;Stanis³aw;Granowo
PL-0200001;£ukaszewska;Stanis³aw;Czempiñ
PL-0200002;Zawrotniak;Stanis³aw;Ko³o
PL-0200003;Zieliñski;Stanis³aw;Gniezno
PL-0200004;Gumienny;Stanis³aw;Poznañ
PL-0200005;Kucz;Stanis³aw;Nowy Tomyœl
PL-0200006;Matuszak;Stanis³aw;Poznañ
PL-0200007;¯o³nierek;Stanis³aw;Chodzie¿
PL-0200008;Fr¹ckowiak;Stanis³aw;Poznañ
PL-0200009;Wiœniewska;Stanis³aw;Koszalin
PL-0200010;Pluciñski;Stanis³aw;Murowana Goœlin
PL-0200011;Matusiak;Stanis³aw;Poznañ
PL-0200012;M¹drzak;Stanis³aw;Konin
PL-0200013;Cieœlak;Stanis³aw;¯ychlin
PL-0200014;Gensler;Stanis³aw;Poznañ
PL-0200015;Szczepanek;Stanis³aw;Poznañ
PL-0200016;Brzezicka;Stanis³aw;Poznañ
PL-0200017;Janiak;Stanis³aw;Poznañ
PL-0200018;Groñski;Stanis³aw;Poznañ
PL-0200019;Stuligrosz;Stanis³aw;Poznañ
PL-0200020;Rzanna;Stanis³aw;Poznañ
PL-0200021;Szyd³owski;Stanis³aw;Swarzêdz
PL-0200022;Tokarski;Stanis³aw;Poznañ
PL-0200023;Kurczyñska;Stanis³aw;Augustów
PL-0200024;Krzy¿kowiak;Stanis³aw;Poznañ
PL-0200025;Rutkowska;Stanis³aw;Poznañ
PL-0200026;Lewndowska;Stanis³aw;Poznañ
PL-0200027;Sell;Stanis³aw;Poznañ
PL-0200028;Ciesielska;Stanis³aw;Poznañ
PL-0200029;Tuczyñski;Stanis³aw;Poznañ
PL-0200030;Tomaszewska;Stanis³aw;Poznañ
PL-0200031;Piasecka;Stanis³aw;Poznañ
PL-0200032;Stawiñski;Stanis³aw;Poznañ
PL-0200033;Skibicka;Stanis³aw;G³ogów
PL-0200034;D³ubak;Stanis³aw;Biedrusko
PL-0200035;S³awek;Stanis³aw;Poznañ
PL-0200036;Bukowski;Sonia;Oborniki Wlkp.
PL-0200037;Nowak;Sonia;Poznañ
PL-0200038;Jezierna;Sobies³aw;Szamotu³y
PL-0200039;Janaszek;S³awosz;Poznañ
PL-0200040;Janaszek;S³awosz;Stare Miasto
PL-0200041;Lamberti;S³awomira;Poznañ
PL-0200042;Olszak;S³awomira;Poznañ
PL-0200043;Guba³a;S³awomira;Poznañ
PL-0200044;Drzewiecki;S³awomira;Puszczykowo
PL-0200045;Szulc;S³awomira;Nowy Tomyœl
PL-0200046;Hoffman;S³awomir Tomasz;Poznañ
PL-0200047;Banasiak;S³awomir Jan;Kruszwica
PL-0200048;Berezowska-Apolinarska;S³awomir Jacek;Poznañ
PL-0200049;Deskur;S³awomir Artur;Poznañ
